"TEAM_NAME","GAME_DATE","E_OFF_RATING","E_DEF_RATING","E_NET_RATING","col1"
"Oklahoma City Thunder",2018-10-16,94.1,101,-6.9,"#007AC1"
"Philadelphia 76ers",2018-10-16,81.2,98.9,-17.7,"#006BB6"
"Golden State Warriors",2018-10-16,101,94.1,6.9,"#006BB6"
"Boston Celtics",2018-10-16,98.9,81.2,17.7,"#007A33"
"Miami Heat",2018-10-17,92.1,98.4,-6.4,"#98002E"
"New York Knicks",2018-10-17,106.2,93.1,13.1,"#006BB6"
"Sacramento Kings",2018-10-17,109.4,114.2,-4.8,"#5A2D81"
"Dallas Mavericks",2018-10-17,104.4,128.7,-24.3,"#00538C"
"Memphis Grizzlies",2018-10-17,83.6,116,-32.4,"#5D76A9"
"Cleveland Cavaliers",2018-10-17,99.8,112.8,-13,"#6F263D"
"Phoenix Suns",2018-10-17,128.7,104.4,24.3,"#1D1160"
"LA Clippers",2018-10-17,94.6,104.4,-9.8,"#C8102E"
"Atlanta Hawks",2018-10-17,93.1,106.2,-13.1,"#E03A3E"
"Indiana Pacers",2018-10-17,116,83.6,32.4,"#002D62"
"Charlotte Hornets",2018-10-17,108,108.9,-0.8,"#1D1160"
"Detroit Pistons",2018-10-17,98.4,94.6,3.8,"#C8102E"
"Toronto Raptors",2018-10-17,112.8,99.8,13,"#CE1141"
"Minnesota Timberwolves",2018-10-17,108.1,113.4,-5.3,"#0C2340"
"Denver Nuggets",2018-10-17,104.4,94.6,9.8,"#0E2240"
"San Antonio Spurs",2018-10-17,113.4,108.1,5.3,"#C4CED4"
"Orlando Magic",2018-10-17,98.4,92.1,6.4,"#0077C0"
"Brooklyn Nets",2018-10-17,94.6,98.4,-3.8,"#000000"
"Milwaukee Bucks",2018-10-17,108.9,108,0.8,"#00471B"
"Houston Rockets",2018-10-17,105.1,124,-18.9,"#CE1141"
"Utah Jazz",2018-10-17,114.2,109.4,4.8,"#002B5C"
"New Orleans Pelicans",2018-10-17,124,105.1,18.9,"#0C2340"
"Washington Wizards",2018-10-18,106.5,103.7,2.8,"#002B5C"
"Chicago Bulls",2018-10-18,95.3,117.4,-22,"#CE1141"
"Philadelphia 76ers",2018-10-18,117.4,95.3,22,"#006BB6"
"Portland Trail Blazers",2018-10-18,110.6,105.5,5,"#E03A3E"
"Los Angeles Lakers",2018-10-18,105.5,110.6,-5,"#552583"
"Miami Heat",2018-10-18,103.7,106.5,-2.8,"#98002E"
"Utah Jazz",2018-10-19,113.1,120.5,-7.4,"#002B5C"
"New Orleans Pelicans",2018-10-19,131.3,115.8,15.5,"#0C2340"
"Atlanta Hawks",2018-10-19,109.5,119.2,-9.7,"#E03A3E"
"Memphis Grizzlies",2018-10-19,119.2,109.5,9.7,"#5D76A9"
"Cleveland Cavaliers",2018-10-19,115.2,122,-6.8,"#6F263D"
"New York Knicks",2018-10-19,108.5,112,-3.5,"#006BB6"
"LA Clippers",2018-10-19,106,89.2,16.8,"#C8102E"
"Milwaukee Bucks",2018-10-19,109,94.5,14.5,"#00471B"
"Toronto Raptors",2018-10-19,111.5,97.7,13.8,"#CE1141"
"Charlotte Hornets",2018-10-19,114.5,82.9,31.6,"#1D1160"
"Orlando Magic",2018-10-19,82.9,114.5,-31.6,"#0077C0"
"Minnesota Timberwolves",2018-10-19,122,115.2,6.8,"#0C2340"
"Indiana Pacers",2018-10-19,94.5,109,-14.5,"#002D62"
"Golden State Warriors",2018-10-19,120.5,113.1,7.4,"#006BB6"
"Brooklyn Nets",2018-10-19,112,108.5,3.5,"#000000"
"Boston Celtics",2018-10-19,97.7,111.5,-13.8,"#007A33"
"Sacramento Kings",2018-10-19,115.8,131.3,-15.5,"#5A2D81"
"Oklahoma City Thunder",2018-10-19,89.2,106,-16.8,"#007AC1"
"Denver Nuggets",2018-10-20,111.5,89.7,21.7,"#0E2240"
"Phoenix Suns",2018-10-20,89.7,111.5,-21.7,"#1D1160"
"Brooklyn Nets",2018-10-20,105,128.6,-23.6,"#000000"
"San Antonio Spurs",2018-10-20,111.2,125.6,-14.4,"#C4CED4"
"Detroit Pistons",2018-10-20,114.4,111.1,3.4,"#C8102E"
"New York Knicks",2018-10-20,97.2,102.5,-5.2,"#006BB6"
"Minnesota Timberwolves",2018-10-20,120.8,122.9,-2.1,"#0C2340"
"Charlotte Hornets",2018-10-20,109.6,106.8,2.8,"#1D1160"
"Washington Wizards",2018-10-20,107.5,109.5,-2,"#002B5C"
"Orlando Magic",2018-10-20,113.1,121.6,-8.5,"#0077C0"
"Houston Rockets",2018-10-20,108.6,104.6,4,"#CE1141"
"Los Angeles Lakers",2018-10-20,104.6,108.6,-4,"#552583"
"Philadelphia 76ers",2018-10-20,121.6,113.1,8.5,"#006BB6"
"Toronto Raptors",2018-10-20,109.5,107.5,2,"#CE1141"
"Miami Heat",2018-10-20,106.8,109.6,-2.8,"#98002E"
"Dallas Mavericks",2018-10-20,122.9,120.8,2.1,"#00538C"
"Boston Celtics",2018-10-20,102.5,97.2,5.2,"#007A33"
"Chicago Bulls",2018-10-20,111.1,114.4,-3.4,"#CE1141"
"Indiana Pacers",2018-10-20,128.6,105,23.6,"#002D62"
"Portland Trail Blazers",2018-10-20,125.6,111.2,14.4,"#E03A3E"
"Cleveland Cavaliers",2018-10-21,102.6,121.6,-19,"#6F263D"
"Sacramento Kings",2018-10-21,117.7,102.4,15.3,"#5A2D81"
"Atlanta Hawks",2018-10-21,121.6,102.6,19,"#E03A3E"
"LA Clippers",2018-10-21,113.4,110.2,3.1,"#C8102E"
"Denver Nuggets",2018-10-21,98.5,95.6,3,"#0E2240"
"Houston Rockets",2018-10-21,110.2,113.4,-3.1,"#CE1141"
"Golden State Warriors",2018-10-21,95.6,98.5,-3,"#006BB6"
"Oklahoma City Thunder",2018-10-21,102.4,117.7,-15.3,"#007AC1"
"Memphis Grizzlies",2018-10-22,92.5,86.5,6,"#5D76A9"
"Charlotte Hornets",2018-10-22,103,123.1,-20.1,"#1D1160"
"Minnesota Timberwolves",2018-10-22,98.5,89.2,9.3,"#0C2340"
"Milwaukee Bucks",2018-10-22,120.9,106,14.9,"#00471B"
"Golden State Warriors",2018-10-22,115.6,100.1,15.5,"#006BB6"
"New York Knicks",2018-10-22,106,120.9,-14.9,"#006BB6"
"Boston Celtics",2018-10-22,91.9,94.5,-2.6,"#007A33"
"Los Angeles Lakers",2018-10-22,117.9,126.9,-9,"#552583"
"Utah Jazz",2018-10-22,86.5,92.5,-6,"#002B5C"
"Indiana Pacers",2018-10-22,89.2,98.5,-9.3,"#002D62"
"Toronto Raptors",2018-10-22,123.1,103,20.1,"#CE1141"
"Portland Trail Blazers",2018-10-22,99.5,104.7,-5.2,"#E03A3E"
"San Antonio Spurs",2018-10-22,126.9,117.9,9,"#C4CED4"
"Phoenix Suns",2018-10-22,100.1,115.6,-15.5,"#1D1160"
"Dallas Mavericks",2018-10-22,109.3,107.7,1.6,"#00538C"
"Washington Wizards",2018-10-22,104.7,99.5,5.2,"#002B5C"
"Chicago Bulls",2018-10-22,107.7,109.3,-1.6,"#CE1141"
"Orlando Magic",2018-10-22,94.5,91.9,2.6,"#0077C0"
"Denver Nuggets",2018-10-23,122.8,110,12.8,"#0E2240"
"Sacramento Kings",2018-10-23,110,122.8,-12.8,"#5A2D81"
"New Orleans Pelicans",2018-10-23,108.8,102,6.8,"#0C2340"
"LA Clippers",2018-10-23,102,108.8,-6.8,"#C8102E"
"Philadelphia 76ers",2018-10-23,116.5,114.8,1.7,"#006BB6"
"Detroit Pistons",2018-10-23,114.8,116.5,-1.7,"#C8102E"
"Houston Rockets",2018-10-24,88.9,99.7,-10.8,"#CE1141"
"Miami Heat",2018-10-24,106.5,87.7,18.7,"#98002E"
"New York Knicks",2018-10-24,87.7,106.5,-18.7,"#006BB6"
"Atlanta Hawks",2018-10-24,101.2,94.2,7.1,"#E03A3E"
"Phoenix Suns",2018-10-24,108.4,122.3,-13.9,"#1D1160"
"Golden State Warriors",2018-10-24,129.7,110.6,19.1,"#006BB6"
"Brooklyn Nets",2018-10-24,102.4,90.5,11.9,"#000000"
"Los Angeles Lakers",2018-10-24,122.3,108.4,13.9,"#552583"
"Charlotte Hornets",2018-10-24,112.5,115,-2.5,"#1D1160"
"Philadelphia 76ers",2018-10-24,95.4,106.8,-11.4,"#006BB6"
"Indiana Pacers",2018-10-24,121.4,101.9,19.6,"#002D62"
"Minnesota Timberwolves",2018-10-24,101.9,111.7,-9.8,"#0C2340"
"Chicago Bulls",2018-10-24,115,112.5,2.5,"#CE1141"
"Utah Jazz",2018-10-24,99.7,88.9,10.8,"#002B5C"
"San Antonio Spurs",2018-10-24,101.9,121.4,-19.6,"#C4CED4"
"Dallas Mavericks",2018-10-24,94.2,101.2,-7.1,"#00538C"
"Cleveland Cavaliers",2018-10-24,90.5,102.4,-11.9,"#6F263D"
"Milwaukee Bucks",2018-10-24,106.8,95.4,11.4,"#00471B"
"Memphis Grizzlies",2018-10-24,90.4,97.5,-7,"#5D76A9"
"Toronto Raptors",2018-10-24,111.7,101.9,9.8,"#CE1141"
"Sacramento Kings",2018-10-24,97.5,90.4,7,"#5A2D81"
"Washington Wizards",2018-10-24,110.6,129.7,-19.1,"#002B5C"
"Orlando Magic",2018-10-25,116.6,131.4,-14.8,"#0077C0"
"Boston Celtics",2018-10-25,98.5,90.5,8,"#007A33"
"Oklahoma City Thunder",2018-10-25,90.5,98.5,-8,"#007AC1"
"Detroit Pistons",2018-10-25,112.5,105.5,7,"#C8102E"
"Denver Nuggets",2018-10-25,103.8,113,-9.1,"#0E2240"
"Cleveland Cavaliers",2018-10-25,105.5,112.5,-7,"#6F263D"
"Los Angeles Lakers",2018-10-25,113,103.8,9.1,"#552583"
"Portland Trail Blazers",2018-10-25,131.4,116.6,14.8,"#E03A3E"
"New York Knicks",2018-10-26,95.9,127.6,-31.7,"#006BB6"
"Houston Rockets",2018-10-26,106.6,124.6,-18,"#CE1141"
"New Orleans Pelicans",2018-10-26,111,104.9,6,"#0C2340"
"Toronto Raptors",2018-10-26,115.1,99.5,15.6,"#CE1141"
